variable,true_mean,sim_mean,sim_std,bias,true_zero_prop
Tiempo Pre VAM,0.0,0.0,0.0,0.0,1.0
Tiempo VAM,139.96634615384616,66.63854166666667,68.41933190304289,-73.32780448717949,0.0
Tiempo Post VAM,138.91826923076923,167.00104166666668,168.80896953346806,28.082772435897454,0.019230769230769232
Estadia UCI,278.88461538461536,233.63958333333332,183.45191212519802,-45.24503205128204,0.0
Estadia Post UCI,313.38461538461536,238.165625,234.51645872197616,-75.21899038461535,0.038461538461538464
